 LF ,Lead Frame,21,28,448,"1,022",980,-803,-892,667,536,16,882,888,-951,"-1,032",468,392,13,"1,043",972,-884,-930,552,435,13,"1,267","1,278",-964,-988,737,725,22,843,851,-992,"-1,001",576,575,18,"1,067",973,-976,-979,665,568,17,"1,002",964,"-1,021","-1,028",550,504,16,"1,003",916,-914,-963,638,457,16,891,"1,018",-894,-863,635,612,24,651,619,-819,-763,467,468,21,664,695,-663,-653,468,510,21,616,636,-655,-719,429,427,18,"5,171",,"-5,066",-712,590,,0
 RE ,Resin,20,25,340,478,410,-411,-416,407,334,22,486,486,-474,-464,345,356,24,513,513,-418,-453,451,417,26,448,448,-493,-480,371,385,24,494,494,-470,-473,409,406,26,471,471,-469,-477,408,400,25,508,474,-480,-489,429,384,25,381,386,-459,-452,350,318,22,422,436,-445,-444,327,311,24,316,301,-412,-383,231,229,21,320,344,-333,-327,218,246,20,325,336,-324,-361,219,221,19,"2,495",,"-2,508",-357,282,,0
 AG ,Silver Paste,17,25,234,504,504,-361,-355,377,383,28,261,261,-420,-404,224,239,19,508,508,-344,-385,404,363,27,428,428,-440,-400,351,391,27,428,428,-445,-437,375,382,28,358,358,-419,-406,321,334,24,428,428,-429,-410,333,352,26,321,321,-408,-406,246,268,20,455,457,-400,-393,300,331,29,214,322,-361,-338,154,315,33,268,164,-284,-282,137,196,19,268,244,-273,-311,131,129,12,"2,134",,"-2,092",-310,201,,0
 OT ,Others,27,30,234,262,211,-240,-226,256,219,23,262,256,-271,-280,210,195,23,285,291,-253,-251,228,235,24,299,297,-289,-292,246,240,25,277,277,-287,-286,230,230,24,274,272,-280,-287,224,215,22,277,276,-290,-291,203,200,22,280,280,-278,-278,205,202,23,279,277,-268,-269,216,211,27,150,148,-244,-231,121,127,20,220,232,-195,-195,146,164,23,200,207,-190,-213,156,158,22,"1,450",,"-1,393",-213,183,,0
" LB, MO ",Assembly (MO) + (LB),,,475,,,-100,305,375,780,,,,-384,-309,396,471,,,,10,101,481,572,,,,-90,112,482,684,,,,-172,-54,512,630,,,,-129,-167,501,463,,,,33,98,496,561,,,,7,-70,503,490,,,,-7,-1,496,489,,,,-6,1,490,490,,,,-8,-12,482,478,,,,9,9,490,487,,,,14,,384,,
,Total (Without GIT),,,"6,850","15,719","15,445","-12,511","-12,553","10,057","9,742",,"10,650","11,298","-14,660","-14,805","5,733","6,235",,"13,370","14,400","-13,746","-14,123","5,859","6,512",,"15,552","15,681","-14,988","-15,028","7,076","7,164",,"14,267","14,320","-15,695","-15,542","5,736","5,942",,"15,510","15,412","-14,983","-15,315","6,469","6,039",,"14,768","14,864","-15,165","-15,353","5,642","5,550",,"15,904","16,122","-14,169","-14,542","7,377","7,130",,"15,340","15,456","-13,916","-13,528","8,801","9,058",,"7,851","7,258","-12,609","-11,871","4,044","4,445",,"10,827","9,918","-9,925","-9,876","4,946","4,487",,"14,057","14,179","-9,620","-10,820","9,384","7,846",,"69,677",0,"-71,247","-12,741","7,006",0,
,GIT,,,,,,,,,"1,584",,,,,,131,176,,,,,,"1,163",210,,,,,,100,,,,,,,100,96,,,,,,,62,,,,,,104,210,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
,Total (With GIT),,,"6,850","15,719","15,445","-12,511","-12,553","10,057","11,326",23,"10,650","11,298","-14,660","-14,805","5,864","6,412",14,"13,370","14,400","-13,746","-14,123","7,022","6,721",13,"15,552","15,681","-14,988","-15,028","7,176","7,164",14,"14,267","14,320","-15,695","-15,542","5,836","6,038",12,"15,510","15,412","-14,983","-15,315","6,469","6,100",12,"14,768","14,864","-15,165","-15,353","5,746","5,760",12,"15,904","16,122","-14,169","-14,542","7,377","7,247",16,"15,340","15,456","-13,916","-13,528","8,801","9,058",23,"7,851","7,258","-12,609","-11,871","4,044","4,445",14,"10,827","9,918","-9,925","-9,876","4,946","4,487",12,"14,057","14,179","-9,620","-10,820","9,404","7,846",18,"69,677",0,"-71,247","-12,741","7,006",0,0
,,,,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, FALSE ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,590",,-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,207,,,,,,,-38,,,,,,,23,,,,,,,-121,,,,,,,-168,,,,,,,-149,,,,,,,115,,,,,,,217,67,,,,,,62,,,,,,,42,,,,,,,68,,,,,,,45,,,,,,,,
,"Inductor              
Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Magnetic Powder,25,45,485,722,602,-548,-502,659,585,34,602,622,-540,-516,648,692,39,583,584,-521,-527,753,749,41,594,588,-539,-553,803,783,41,450,455,-539,-569,694,669,35,526,511,-547,-569,648,611,32,460,470,-558,-570,513,511,28,594,594,-553,-553,554,553,31,596,596,-519,-533,631,615,35,459,459,-520,-532,570,542,31,392,460,-515,-524,447,479,28,527,526,-506,-521,469,484,28,"3,412",,"-3,394",,652,484,0
,Lead Frame,12,17,348,864,888,-788,-788,423,448,16,833,885,-810,-844,471,489,17,773,824,-828,-857,434,456,15,800,832,-865,-894,392,394,13,820,850,-863,-883,351,361,12,899,887,-877,-885,383,362,12,957,967,-894,-910,424,418,14,860,810,-886,-886,398,342,12,837,837,-832,-860,403,319,11,850,890,-834,-855,419,354,13,840,840,-825,-839,434,354,13,700,805,-814,-840,320,320,11,"5,060",,"-5,088",,456,320,0
,Copper Wire,38,61,458,363,289,-265,-248,556,499,60,198,200,-262,-250,434,449,53,312,313,-253,-254,508,507,54,212,218,-264,-281,455,444,49,334,346,-264,-271,514,519,57,257,268,-268,-274,508,513,52,305,310,-273,-293,545,529,59,234,289,-271,-271,508,548,62,200,239,-254,-265,454,522,59,260,248,-255,-264,459,506,59,270,274,-252,-257,477,524,62,250,231,-246,-254,481,501,58,"1,786",,"-1,730",,563,501,0
,Solder,14,28,261,426,426,-417,-404,271,284,19,476,476,-420,-446,339,313,21,369,367,-431,-443,251,237,15,513,513,-450,-467,300,283,18,417,417,-450,-477,251,223,14,417,479,-457,-470,184,232,14,463,516,-466,-482,230,266,17,419,456,-462,-462,187,260,17,427,433,-433,-450,180,243,16,430,400,-434,-446,176,197,13,440,430,-430,-437,186,190,13,390,390,-422,-435,154,144,10,"2,894",,"-2,926",,222,144,0
,Silicon Resin,37,54,165,146,157,-156,-146,155,176,35,125,173,-150,-149,151,200,35,177,177,-150,-174,227,203,46,126,66,-156,-131,172,138,26,169,229,-156,-159,151,208,41,183,177,-158,-150,232,235,44,110,110,-162,-161,183,184,34,145,145,-160,-160,168,168,32,201,201,-150,-160,219,210,41,140,140,-151,-154,208,196,39,160,160,-149,-152,219,204,40,120,127,-147,-152,192,180,35,"1,058",,"-1,033",,215,180,0
,Raw Material,,,,626,620,-626,-620,0,0,0,593,594,-593,-594,0,0,0,640,620,-640,-620,0,0,0,580,389,-580,-389,0,0,0,600,542,-600,-542,0,0,0,498,473,-498,-473,0,0,0,498,476,-498,-476,0,0,0,498,589,-498,-589,0,0,0,498,520,-498,-520,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,"2,794",,"-2,794",,,,0
,Others,13,22,289,480,488,-499,-474,270,303,18,520,528,-440,-509,383,321,21,495,502,-499,-457,317,366,19,548,548,-521,-568,393,346,19,588,585,-520,-535,414,395,22,511,490,-529,-531,378,355,19,548,570,-539,-546,364,379,21,449,489,-534,-534,279,334,19,488,502,-501,-520,265,316,18,520,520,-503,-514,283,322,19,500,550,-497,-506,286,366,22,490,497,-488,-503,287,359,21,"2,765",,"-2,756",,251,359,0
,Total (Without GIT),,,"2,005","3,627","3,470","-3,298","-3,182","2,334","2,294",,"3,348","3,478","-3,216","-3,308","2,427","2,464",,"3,348","3,386","-3,322","-3,332","2,490","2,518",,"3,373","3,153","-3,376","-3,283","2,515","2,388",,"3,379","3,424","-3,392","-3,437","2,375","2,375",,"3,292","3,285","-3,334","-3,352","2,333","2,307",,"3,341","3,420","-3,390","-3,439","2,259","2,289",,"3,199","3,371","-3,364","-3,455","2,093","2,205",,"3,247","3,327","-3,188","-3,308","2,152","2,224",,"3,157","3,155","-3,195","-3,263","2,114","2,116",,"3,100","3,213","-3,166","-3,213","2,048","2,116",,"2,975","3,074","-3,121","-3,203","1,902","1,987",,"19,769",0,"-19,721",0,"2,359","1,987",
,GIT,,,,,,,,181,428,,,,,,260,185,,,,,,110,105,,,,,,210,217,,,,,,257,89,,,,,,305,181,,,,,,290,375,,,,,,290,395,,,,,,410,400,,,,,,370,410,,,,,,400,400,,,,,,265,225,,,,,,99,0,
,Total (With GIT),,,"2,005","3,627","3,470","-3,298","-3,182","2,515","2,722",25,"3,348","3,478","-3,216","-3,308","2,687","2,649",24,"3,348","3,386","-3,322","-3,332","2,600","2,623",24,"3,373","3,153","-3,376","-3,283","2,725","2,605",23,"3,379","3,424","-3,392","-3,437","2,632","2,464",22,"3,292","3,285","-3,334","-3,352","2,638","2,488",22,"3,341","3,420","-3,390","-3,439","2,549","2,664",23,"3,199","3,371","-3,364","-3,455","2,383","2,600",24,"3,247","3,327","-3,188","-3,308","2,562","2,624",24,"3,157","3,155","-3,195","-3,263","2,484","2,526",24,"3,100","3,213","-3,166","-3,213","2,448","2,516",24,"2,975","3,074","-3,121","-3,203","2,167","2,212",21,"19,769",0,"-19,721",0,"2,458","1,987",0
,,,,,,,,,, TRUE ,,,,,,, TRUE ,25,,,,,, TRUE ,23,,-220,,93,, TRUE ,24,,,,,, TRUE ,22,,-7,,,, TRUE ,23,,79,,,, LF ,23,,172,,,, TRUE ,22,,81,,120,, TRUE ,24,,-2,,68,, TRUE ,24,,113,,47,, TRUE ,24,,99,,83,, TRUE ,21,,"-19,769",,"-19,721",, TRUE ,
,,,,,,,,,, BP ,24,,,,,, BP ,22,,,,,, BP ,22,,,,,, BP ,24,,,,,, BP ,22,,,,,, BP ,23,,,,,, BP ,22,,,,0.392,, BP ,22,,,,,, BP ,23,,,,"-3,195",, BP ,24,,,,"-3,166",, BP ,24,,,,"-3,121",, BP ,21,,,, -   ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,,,,,,-47,,,,,,,-83,, LF ,20.57,,,,,,,
,,,,,,,,,,10,,,,,,,6,,,,,,,-4.5,,,,,,,-30,,,,,,,31,,,,,,,-32,,,,,,,54,,,,,,,18,,,,,,,40,,,,,,,65,,,,,,,108,,,,,,,40,,,,,,,,
,"Resistor              
Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Ceramic Rods(RD),40,45,194,10,10,-16,-29,188,175,308,10,10,-24,-17,160,167,111,14,14,-27,-45,155,136,382,24,24,-27,-11,133,150,318,18,20,-33,-14,135,155,144,20,20,-28,-32,148,143,163,30,30,-25,-26,148,147,174,22,16,-25,-25,145,138,179,30,34,-38,-23,137,148,158,26,30,-28,-28,134,150,94,30,24,-49,-48,115,126,133,25,26,-29,-28,112,123,128,175,,-168,-29,163,94,81
,Cap / R Plate / Terminal (ME),70,75,119,0,0,-20,-13,99,106,214,0,0,-14,-15,91,91,193,27,27,-11,-14,107,103,401,0,0,-8,-8,95,96,286,7,7,-9,-10,93,93,179,14,29,-15,-16,92,106,172,12,12,-19,-18,98,99,139,30,30,-22,-21,106,108,143,15,15,-23,-23,98,100,139,15,15,-22,-22,91,93,133,27,27,-21,-21,97,99,141,10,10,-21,-21,86,88,125,89,,-107,-21,49,67,95
,Plated Wire,18,21,48,44,45,-32,-28,60,64,64,31,31,-38,-30,57,65,76,45,46,-27,-26,83,85,93,35,35,-26,-27,94,92,138,0,0,-27,-20,65,72,87,15,14,-29,-25,58,61,66,44,40,-34,-28,71,74,59,22,22,-37,-37,56,58,46,37,37,-37,-38,56,57,42,37,37,-41,-41,51,53,39,37,37,-41,-41,47,49,35,30,30,-41,-42,35,37,29,226,,-237,-38,14,-1,-1
,Substrates (CS),30,45,52,27,27,-18,-20,62,59,72,19,19,-32,-25,46,53,60,47,47,-36,-27,64,74,61,0,0,-33,-36,41,37,42,48,48,-30,-26,55,59,47,28,28,-30,-38,56,49,18,41,31,-40,-30,49,50,18,43,43,-22,-30,70,62,18,37,38,-24,-16,84,84,18,15,38,-21,-23,78,100,18,21,50,-26,-24,73,126,115,54,18,-29,-33,98,111,90,122,,-81,-37,58,74,71
,Chemical (CH / CI),45,60,132,20,20,-26,-23,126,128,235,7,6,-30,-16,106,118,153,13,13,-34,-23,97,108,117,28,28,-26,-28,110,108,176,22,20,-30,-18,100,110,119,7,9,-27,-28,90,91,77,43,44,-42,-35,92,100,79,29,27,-39,-38,82,89,68,56,48,-38,-39,99,97,72,32,39,-40,-40,91,96,73,35,35,-40,-40,86,91,56,34,33,-40,-48,80,76,63,142,,-160,-36,49,40,29
,Packaging / Tapes (PC PO PP),45,60,94,11,12,-13,-10,91,96,247,14,14,-14,-12,96,98,284,7,7,-12,-10,93,94,356,11,8,-11,-8,94,94,292,9,9,-12,-10,92,94,262,10,8,-13,-11,91,91,216,8,8,-15,-13,85,86,167,18,19,-16,-16,87,90,171,11,10,-16,-16,82,85,160,15,18,-16,-16,81,87,175,12,13,-15,-15,78,85,166,12,11,-15,-15,76,80,160,71,,-83,-15,55,65,129
,Other ,27,30,134,24,26,-33,-23,125,137,138,45,46,-29,-30,153,153,137,29,29,-40,-34,142,148,131,22,23,-37,-34,134,137,119,44,45,-39,-34,143,147,144,22,22,-29,-31,140,138,120,33,34,-38,-35,133,138,88,26,28,-48,-47,111,119,67,49,49,-54,-54,105,114,64,52,43,-54,-54,103,104,69,42,55,-48,-45,97,114,67,48,41,-47,-51,98,104,76,228,,-225,-41,97,63,41
,Substrate WIP (SS),,,105,,,-22,-12,83,94,103,,,-9,-27,85,66,187,,,-5,-11,61,56,67,,,4,-25,60,31,,,,19,11,50,42,-58,,,17,22,59,64,,,,12,25,76,89,,,,3,2,79,91,,,,-14,-12,65,80,,,,3,1,68,81,,,,-11,-13,57,67,,,,5,0,62,68,,,,-392,-1,137,67,440
,ERJM Plating (RJ),,, -   ,40,41,-24,-35,16,6,,35,39,-31,-38,10,7,,25,24,-24,-24,8,7,,20,22,-18,-26,9,3,,24,22,-19,-25,8,0,,43,52,-35,-46,8,7,,60,73,-58,-67,8,12,,64,61,-63,-64,9,10,,62,60,-63,-60,8,10,,58,56,-59,-57,7,9,,58,57,-58,-57,7,9,,58,57,-65,-66,0,0,,370,,-370,-42,0,-42,
,Total (Without GIT),,,878,176,181,-204,-193,849,866,,160,164,-220,-210,806,819,,205,205,-215,-214,810,811,,141,140,-181,-203,770,748,,172,171,-179,-147,741,772,,158,182,-189,-203,741,750,,271,273,-261,-227,761,796,,252,247,-268,-277,746,765,,296,290,-308,-280,734,776,,249,276,-278,-280,705,772,,262,298,-310,-304,657,765,,272,225,-282,-304,647,686,,"1,422",0,"-1,824",-260,621,426,
,GIT,,6,,,,,,6,0,,,,,,8,0,,,,,,5,0,,,,,,8,0,,,,,,0,0,,,,,,44,2,,,,,,8,27,,,,,,10,8,,,,,,14,12,,,,,,18,16,,,,,,15,15,,,,,,30,30,,,,,,12,,
,Total (With GIT),,,878,176,181,-204,-193,855,866,124,160,164,-220,-210,814,819,115,205,205,-215,-214,815,811,120,141,140,-181,-203,778,748,153,172,171,-179,-147,741,772,114,158,182,-189,-203,785,753,99,271,273,-261,-227,769,822,89,252,247,-268,-277,756,773,83,296,290,-308,-280,748,788,84,249,276,-278,-280,723,788,78,262,298,-310,-304,672,780,77,272,225,-282,-304,677,716,83,"1,422",0,"-1,824",-260,633,426,44
,,,,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14,,,,,,,6,,,,,,,-47.5,,,,,,,-18,,,,,,,-39,,,,,,,-6,,,,,,,9,,,,,,,40,,,,,,,23,,,,,,,16,,,,,,,0,,,,,,,-10,,,,,,,,
,"Varistor              
 Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv ,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Element,27,34,63,134,139,-80,-76,117,125,41,55,57,-94,-92,86,90,29,84,94,-86,-94,87,90,28,127,126,-102,-98,115,118,36,82,95,-96,-98,104,115,32,82,97,-101,-107,97,105,33,95,111,-93,-97,107,119,42,72,85,-83,-86,96,119,53,80,63,-78,-67,99,115,48,50,60,-74,-72,76,102,45,59,35,-72,-68,63,69,35,68,54,-61,-59,70,64,29,408,,-405,,66,64,0
,Silver Paste,17,24,46,94,94,-87,-72,54,69,24,87,87,-95,-88,61,68,21,87,87,-88,-95,66,59,18,94,94,-99,-96,54,58,17,87,87,-101,-99,44,45,13,94,94,-96,-104,43,35,11,102,102,-89,-93,48,45,16,87,87,-87,-87,48,45,20,87,87,-81,-69,54,62,26,55,39,-72,-73,36,29,13,63,63,-70,-66,30,25,13,63,63,-61,-58,31,30,14,417,,-416,,35,30,0
,Resin,42,45,17,42,42,-26,-23,33,36,38,36,36,-29,-29,43,44,45,0,0,-32,-29,12,15,14,36,36,-34,-30,17,20,18,30,30,-33,-34,17,16,15,30,30,-33,-32,13,14,14,30,30,-33,-30,12,15,14,30,30,-31,-31,11,13,15,30,30,-28,-27,13,17,21,36,30,-25,-24,24,22,29,30,30,-25,-24,29,29,43,0,0,-20,-20,9,9,12,151,,-143,,19,9,0
,Copper Wire,47,57,50,42,42,-33,-31,59,61,54,42,42,-36,-34,68,70,58,42,0,-38,-36,73,34,26,73,73,-44,-39,63,68,47,35,35,-44,-43,60,60,44,33,33,-43,-41,50,52,38,33,32,-42,-40,43,44,34,35,35,-39,-39,40,40,38,33,32,-32,-32,41,41,42,34,34,-30,-29,45,46,48,33,34,-30,-29,48,51,64,0,0,-24,-24,24,27,30,184,,-183,,38,27,0
,Solder,19,22,13,33,33,-24,-22,22,24,27,26,26,-27,-27,23,23,24,23,23,-30,-29,16,17,17,33,33,-31,-30,19,20,19,29,29,-31,-31,18,18,18,29,29,-31,-30,17,17,17,29,61,-31,-31,16,47,47,32,0,-30,-30,17,17,20,25,25,-26,-25,16,16,22,21,21,-24,-23,13,15,20,21,18,-24,-22,10,10,16,20,20,-19,-19,11,11,15,137,,-137,,12,11,0
