,Others,13,22,289,480,488,-499,-474,270,303,18,520,528,-440,-509,383,321,21,495,502,-499,-457,317,366,19,548,548,-521,-568,393,346,19,588,585,-520,-535,414,395,22,511,490,-529,-531,378,355,20,500,548,-535,-539,343,364,20,449,449,-527,-534,265,279,17,499,488,-508,-501,256,265,16,650,520,-524,-503,383,283,17,565,500,-508,-497,439,286,18,400,490,-521,-488,318,287,17,"2,765",,"-2,756",,251,287,0
,Total (Without GIT),,,"2,005","3,627","3,470","-3,298","-3,182","2,334","2,294",,"3,348","3,478","-3,216","-3,308","2,427","2,464",,"3,348","3,386","-3,322","-3,332","2,490","2,518",,"3,373","3,153","-3,376","-3,283","2,515","2,388",,"3,379","3,424","-3,392","-3,437","2,375","2,375",,"3,292","3,285","-3,334","-3,352","2,333","2,307",,"3,305","3,341","-3,369","-3,390","2,269","2,259",,"3,199","3,199","-3,326","-3,364","2,142","2,093",,"3,257","3,247","-3,223","-3,188","2,175","2,152",,"3,329","3,157","-3,308","-3,195","2,196","2,114",,"3,248","3,100","-3,226","-3,166","2,219","2,048",,"3,069","2,975","-3,298","-3,121","1,991","1,902",,"19,769",0,"-19,721",0,"2,359","1,902",
,GIT,,,,,,,,181,428,,,,,,260,185,,,,,,110,105,,,,,,210,217,,,,,,257,89,,,,,,305,181,,,,,,280,290,,,,,,270,290,,,,,,410,410,,,,,,340,370,,,,,,340,400,,,,,,265,265,,,,,,99,0,
,Total (With GIT),,,"2,005","3,627","3,470","-3,298","-3,182","2,515","2,722",25,"3,348","3,478","-3,216","-3,308","2,687","2,649",24,"3,348","3,386","-3,322","-3,332","2,600","2,623",24,"3,373","3,153","-3,376","-3,283","2,725","2,605",23,"3,379","3,424","-3,392","-3,437","2,632","2,464",22,"3,292","3,285","-3,334","-3,352","2,638","2,488",22,"3,305","3,341","-3,369","-3,390","2,549","2,549",23,"3,199","3,199","-3,326","-3,364","2,412","2,383",22,"3,257","3,247","-3,223","-3,188","2,585","2,562",24,"3,329","3,157","-3,308","-3,195","2,536","2,484",24,"3,248","3,100","-3,226","-3,166","2,559","2,448",24,"3,069","2,975","-3,298","-3,121","2,256","2,167",21,"19,769",0,"-19,721",0,"2,458","1,902",0
,,,,,,,,,, TRUE ,,,,,,, TRUE ,25,,,,,, TRUE ,23,,-220,,93,, TRUE ,24,,,,,, TRUE ,22,,-7,,,, TRUE ,23,,36,,,, TRUE ,23,, -   ,,,, TRUE ,22,,-10,,-35,, TRUE ,23,,-172,,-113,, TRUE ,24,,-148,,-60,, TRUE ,24,,-94,,-177,, TRUE ,21,,"-19,769",,"-19,721",, TRUE ,
,,,,,,,,,, BP ,24,,,,,, BP ,22,,,,,, BP ,22,,,,,, BP ,24,,,,,, BP ,22,,,,,, BP ,23,,,,,, BP ,22,,,,,, BP ,22,,,,,, BP ,23,,,,,, BP ,24,,,,,, BP ,24,,,,,, BP ,21,,,, -   ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10,,,,,,,6,,,,,,,-4.5,,,,,,,-30,,,,,,,31,,,,,,,-32,,,,,,,-19,,,,,,,4,,,,,,,2,,,,,,,0,,,,,,,8,,,,,,,83,,,,,,,,
,"Resistor              
Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
